name,avgrate
"Godfather, The (1972)",4.524966261808367
"Close Shave, A (1995)",4.52054794520548
"Wrong Trousers, The (1993)",4.507936507936508
Rear Window (1954),4.476190476190476
Star Wars: Episode IV - A New Hope (1977),4.453694416583082
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.4498902706656915
City Lights (1931),4.387453874538745
"Godfather: Part II, The (1974)",4.357565011820331
Creature Comforts (1990),4.335766423357664
Some Like It Hot (1959),4.300480769230769
